event_code,description
SANF,Supplemental Amendment after Non-Final Office Action
SAPB,Supplemental Appeal Brief
SB39ACPR,Letter Accepting Permission for Application Access by Foreign IPO
SB39ACRE,Letter Accepting Rescission of Permission for Application Access by Foreign IPO
SB39RJPR,Letter Rejecting Permission for Application Access by Foreign IPO
SB39RJRE,Letter Rejecting Rescission of Permission for Application Access by Foreign IPO
SB69ACPR,Letter Accepting Permission for Search Results Access by Foreign IPO
SB69ACRE,Letter Accepting Rescission of Permission for Search Results Access by Foreign IPO
SB69RJPR,Letter Rejecting Permission for Search Results Access by Foreign IPO
SB69RJRE,Letter Rejecting Rescission of Permission for Search Results Access by Foreign IPO
SCAN,IFW Scan & PACR Auto Security Review
SCIR,Non COMpliant FAI (non pilot)
SEAL,Application Sealed (L & R)
SENT,Workflow - File Sent to Contractor
SEPQ,Supplemental Ex Parte Quayle
SEPT,SE - Supplemental Examination Petition filed
SEQC,SEQC
SEQDISK,"A set of symbols and procedures, provided to the PTO on a set of 3 ? inch diskettes in computer read"
SEQI,Incoming Biotech Sequence Request
SEQLIST,"A set of symbols and procedures, provided to the PTO on a set of computer listings, that describe in"
SEQO,Outgoing Biotech Sequence Results
SER,Application Number Change
SEREQ,SE - Supplemental Examination Request Filed
SES,Small Entity Statement (37 CFR 1.27)
SETS,Set Application Status
SFR.,Supplemental Final Rejection
SIDS,Supplemental Information Disclosure Statement Filed
SIR.,SIR Request
SMAL,Applicant Has Filed a Verified Statement of Small Entity Status in Compliance with 37 CFR 1.27
SPCT,PCT - Supplemental Action
SPECIFIC,"A  document that contains, at least in part, a written description of an invention, and of the manne"
SPRO,SPRO
SQPR,SEQUENCE ERRORS
SR..,Supplemental Non-Final Rejection (PTOL-326)
SRCH,Official Search Conducted
SRES,Supplemental Restriction
SREXR141,PTO/SB/69-Authorize EPO Access to Search Results
SRI.,Supplemental Requirement for Information
SRNF,Supplemental Non-Final Action
SRR,Suggested restriction required
STGR,Statement Of Grant (Hague)
SUBSPEC,Substitute Specification
T1GR,Track 1 Request Granted
T1NC,Track 1 Noncompliant Request
T1OFF,track 1 OFF
T1ON,track 1 ON 
T501,1.501 Submission by Third Party
TC22HA,Transmit Rule 22 Communication (Hague)
TCBP,TC completion of return order
TCPB,Printer Rush- No mailing
TCPT,TC Petition Decision
TCPTD,TC Petition Denied / Dismissed
TCPTG,TC Petition Granted
TCRD,Return of Undocketed appeal to the TC
TCWD,Appeal ready for PTAB docketing
TDP,terminal disclaimer fee paid
TF01,TF01
TF02,TF02
TF03,TF03
TF04,TF04 
TF05,TF05  
TF06,TF06  
TF07,TF07  
TF08,TF08  
TFPR,Certified Translation of Foreign Priority Document
TI1050,Transfer Inquiry to GAU
TI1052,Decision Made by Classification Division
TI1054,Request for Classification Division Decision
TI10XX,Record Classification Panel Decision
TI10XY,Request Classification Panel Decision
TK1R,Track 1 Request
TMOS,Termination of Official Search
TN/=.HA,Transmit Notice of Allowance to I.B. (Hague)
TN123HA,Transmit Notification Under Rule 12(3)(d) to I.B. (Hague)
TPTRF,Transmit Partial Refusal Hague Treaty
TR.Q,Transfer Inquiry
TR.R,Transfer Refusal
TRDD,Decision by Documentation
TRDW,Request for Transfer of Drawings
TRFHA,Transmit Refusal Hague Treaty
TRIALCER,Review Certificate
TRIALDEN,Request for Trial Denied
TRIALDIS,Request for Trial Dismissed
TRIALFWD,Termination or Final Written Decision
TRIALGIP,Request for Trial Granted in Part
TRIALGRT,Request for Trial Granted
TRIALPET,Petition Requesting Trial
TRIBHA,Transmittal of Indirectly Filed Application to I.B. (Hague)
TRNANNEX,Translation of Annexes to the International Preliminary Examination Report into English
TRNART19,Translation of Article 19 Amendments into English
TRNCLAIM,Translation of Claims into English
TRNIA,Translation of the international application into English
TRNIPER,Translation of the International Preliminary Examination Report into English
TRNISR,Translation of the International Search Report into English
TRNSPEC,Translation of Specification into English
TRRD,Refusal by Documentation to Render Classification Decision
TRRR,Request Reconsideration of Documentation's Classification Decision
TSSA,IFW Amended case processing Complete
TSSCOMP,IFW TSS Processing by Tech Center Complete
TSTGR,Transmit Statement of Grant to I.B. (Hague)
U29N,XXXXX
U410,UnMatched Papers in Pubs
U41B,UnMatched Papers in Pubs
U731,UnMatched Papers in Pubs
U751,UnMatched Papers in Pubs
U752,UnMatched Papers in Pubs
U753,UnMatched Papers in Pubs
U754,UnMatched Papers in Pubs
U755,UnMatched Papers in Pubs
U756,UnMatched Papers in Pubs
U759,UnMatched Papers in Pubs
U75A,UnMatched Papers in Pubs
U75D,UnMatched Papers in Pubs
U765,UnMatched Papers in Pubs
U766,UnMatched Papers in Pubs
UNSL,Application Unsealed (L & R)
UPRS,Application Made Unavailable for Examination
USDO,USPTO Is Designated Office
VFEE,Reverse Issue Fee
W.I.,Withdrawing/Vacating Second Office Action Letter
W/AC,Withdrawing/Vacating Office Action Letter
W/N=,Withdrawal of Notice of Allowance
W/OA,Pre-Exam Office Action Withdrawn
W525,Withdraw Flagged for 5/25
WABN,Withdraw Publication/Pre-Exam Abandon
WACT,Withdrawal of Allowance Action Count
WAMD,Workflow incoming amendment IFW
WASY,WASY
WCRD,Withdraw of return of appeal
WDUPL,Reverse Duplicate case has been deactivated
WFIS,Withdrawal Patent Case from Issue
WIDS,Information Disclosure Statement (IDS) Filed
WINA,Mail Notice of Withdrawn Second Action
WIPS,Withdraw Application from Pre-Grant Publication List
WISA,WISA
WPABN,Withdraw Pre-Exam Abandon
WPET,Workflow incoming petition IFW
WPIR,Issue Notification Mailed
WRFAI,Withdraw from first action interview
WROIPE,Application Return from OIPE
WSIR,Notice of Withdrawal of SIR
X/BD,Correction - Biological Deposit NOT Required
X/DR,Correction - Drawing NOT Required
X/OD,Correction - Oath or Declaration NOT Required
XAPAR,Supplemental Examiner's Answer
XAPPERMS,Rescission of the SB/39 form
XI.A...,Response after non-final action - owner - timely
XI.ACPOC,Patent Owner Comments after Action Closing Prosecution
XI.ACPRC,Third Party Requester Comments after Action Closing Prosecution
XI.AP.BO,Owner Appellant's Brief Review by PTAB Complete
XI.AP.BR,APPEAL BRIEF- THIRD PARTY REQUESTER REVIEW BY PTAB COMPLETE
XI.AP.DA,New PTAB Decision after Board Decision With New Ground of Rejection: Examiner Affirmed
XI.AP.DN,New PTAB Decision after Board Decision With New Ground of Rejection: New Ground of Rejection
XI.AP.DP,New PTAB Decision after Board Decision With New Ground of Rejection: Examiner Affirmed in Part
XI.AP.DR,New PTAB Decision after Board Decision With New Ground of Rejection: Examiner Reversed
XI.APAR,PTAB Decision:  Remand to Examiner (R. 41.77(d))
XI.APBI,Defective Brief Filed
XI.APCTO,Patent Owner Appeal to the Federal Circuit Filed
XI.APCTR,Requester Appeal to the Federal Circuit 
XI.APDFA,Board of Appeals Decision on Rehearing - Decision is Final and Appealable
XI.APDN,PTAB Decision:  New Ground of Rejection (R. 41.77(b))
XI.APDOC,Patent Owner Response after Board Decision With New Ground of Rejection R. 1.977(b)
XI.APDRC,Requester Comments on Patent Owner Response after Board Decision 
XI.APDRN,PTAB Decision on Rehearing - Decision is New Decision
XI.APFWD,Appealed Case awaiting PTAB Decision
XI.APND,Defective Brief Filed
XI.APOHO,Oral Hearing Request-  Owner
XI.APOHR,Oral Hearing Request-  Third Party Requester
XI.DOCK,Case docketed to examiner
XI.FWDX,Ready for Examiner Action after Nonfinal
XI.FWDX2,Ready for Examiner Action after ACP
XI.FWDX3,Ready for Examiner Action after RAN
XI.FWDX4,Ready for Examiner Action after Examiners Answer
XI.FWDX5,Ready for Examiner Action after PTAB Decision
XI.N/APD,Defective Notice of Appeal or Cross Appeal Filed
XI.N/APO,Notice of Appeal- Owner
XI.N/APR,Notice of Appeal- Requester
XI.NCAPO,Notice of Cross Appeal- Owner
XI.NCAPR,Notice of Cross Appeal- Third Party Requester
XI.NINA,Informal response/amendment
XI.NREQI,Notification of Incomplete Inter Partes Reexam Request
XI.NRQRE,Notice of Incomplete Reexam Request Received but no filing date accorded
XI.OSUB,Receipt of Original Inter Partes Reexam Request
XI.OSUBC,Receipt of Corrected Orig Inter Partes Reexam Request 
XI.OSUBX,Request for Accelerated Inter Partes Reexamination
XI.PCOM,Completion of pre-processing - released to TC
XI.PRETE,Preprocessing Terminated--Inter Partes Reexam
XI.PUBS,Terminated;  released to Publications for Issuance of Reexam Certificate
XI.RBBO,Owner Rebuttal Brief Review by PTAB Complete
XI.RBBR,REBUTTAL BRIEF- REQUESTER REVIEW BY PTAB COMPLETE
XI.RNFRC,Third Party Requester Comments after Non-final Action
XI.RQRHO,Patent Owner Request for Rehearing after Board Decision
XI.RQRHR,Requester Request for Rehearing after Board Decision 
XI.RRHOC,Patent Owner Comments on Request for Rehearing after Board Decision (R.41.79(c)) - timely
XI.RRHRC,Requester Comments on Request for Rehearing after Board Decision (R.41.79(c)) - timely
XI.RSBO,RESPONDENT BRIEF- OWNER  REVIEW BY PTAB COMPLETE
XI.RSBR,RESPONDENT BRIEF- REQUESTER REVIEW BY PTAB COMPLETE
XI.RXCER,Reexamination Certificate Issued
XI.XDTOC,Owner Comments on Exmnr's Determination Aft PTAB Dec w/New Ground of Rej 
XI.XDTOR,Owner Reply to REQ Comments on Exmnr's Determ Aft PTAB Dec w/New Ground of Rej 
XI.XDTRC,Requester Comments on Exmnr's Determination Aft PTAB Dec w/New Ground of Rej 
XI.XDTRR,Requester Reply to Owner Reply on Exmnr's Determ Aft PTAB Dec w/New Ground of Rej 
XI.XRRAN,Expedited Request for a Right of Appeal Notice
XIAPBDBO,Notice of Non-Compliance Mailed- Owner Appellants Brief
XIAPBDBR,Notice of Non-Compliance Mailed- Requester Appellants Brief
XIAPBIBO,Notice of Non-Compliant Owner Appellants Brief 
XIAPBIBR,Notice of Non-Compliant Requester Appellants Brief
XIAPBRBO,Owner Appellants Brief Review by CRU Complete
XIAPBRBR,Requester Appellants Brief Review by CRU Complete
XIRBBDBO,Notice of Non-Compliance Mailed- Owner Rebuttal Brief
XIRBBDBR,Notice of Non-Compliance Mailed- Requester Rebuttal Brief
XIRBBIBO,Notice of Non-Compliant Owner Rebuttal Brief
XIRBBIBR,Notice of Non-Compliant Requester Rebuttal Brief
XIRBBRBO,Owner Rebuttal Brief Review by CRU Complete
XIRBBRBR,Requester Rebuttal Brief Review by CRU Complete
XIRSBDBO,Notice of Non-Compliance Mailed- Owner Respondents Brief
XIRSBDBR,Notice of Non-Compliance Mailed- Requester Respondents Brief
XIRSBIBO,Notice of Non-Compliant Owner Respondents Brief
XIRSBIBR,Notice of Non-Compliant Requester Respondents Brief
XIRSBRBO,Owner Respondents Brief Review by CRU Complete
XIRSBRBR,Requester Respondents Brief Review by CRU Complete
XRSP,Extension of Response Period (PTOL-327)
XSREX141,Rescinded SB/69
XT/D,Request for Extension of Time - Denied
XT/G,Request for Extension of Time - Granted
ZMAN,Petition for Writ of Mandamus (CAFC)
ZMAND,Mandamus - Denied
